id,province,population,x_coord,y_coord,latitude,longitude
0,0,100416,0,0,51.760556,14.334167,/
0,1,244951,0,0,50.783333,6.083333,Aachen
0,2,67344,0,0,48.833333,10.1,Aalen
0,3,5554,0,0,49.25,10.966667,Abenberg
0,4,13646,0,0,48.8,11.85,Abensberg
0,2,25018,0,0,48.633333,8.066667,Achern
0,5,31156,0,0,53.065278,9.034167,Achim
0,6,5016,0,0,49.404722,9.389167,Adelsheim
0,7,2947,0,0,50.383333,6.933333,Adenau
0,8,5038,0,0,50.316667,12.266667,Adorf
0,1,39314,0,0,52.066667,7,Ahaus
0,1,52905,0,0,51.763333,7.891111,Ahlen
0,9,32936,0,0,53.674722,10.241111,Ahrensburg
0,10,21130,0,0,48.45,11.133333,Aichach
0,2,10124,0,0,48.622778,9.237222,Aichtal
0,11,7799,0,0,51.85,12.05,Aken
0,2,44431,0,0,48.211944,9.023889,Albstadt
0,5,19081,0,0,51.988611,9.826944,Alfeld
0,12,4141,0,0,50.678889,8.824444,Allendorf
0,11,7985,0,0,51.4,11.383333,Allstedt
0,2,6337,0,0,48.346111,8.403889,Alpirsbach
0,13,46712,0,0,50.883333,6.166667,Alsdorf
0,14,15982,0,0,50.751111,9.271111,Alsfeld
0,11,2526,0,0,51.7,11.666667,Alsleben
0,3,15274,0,0,49.3875,11.356944,Altdorf bei Nürnberg
0,1,17218,0,0,51.3,7.666667,Altena
0,8,8060,0,0,50.764444,13.757778,Altenberg
0,15,32788,0,0,50.985,12.433333,Altenburg
0,7,6221,0,0,50.687222,7.645556,Altenkirchen
0,2,10300,0,0,48.586389,8.604722,Altensteig
0,16,5310,0,0,53.666667,13.25,Altentreptow
0,17,9298,0,0,52.566667,13.733056,Altlandsberg
0,10,12808,0,0,48.226667,12.678333,Altötting
0,10,18467,0,0,50.066667,9.066667,Alzenau
0,7,17826,0,0,49.751667,8.116111,Alzey
0,10,42348,0,0,49.444444,11.848333,Amberg
0,10,3987,0,0,49.633333,9.216667,Amorbach
0,18,5136,0,0,50.797778,8.923056,Amöneburg
0,7,29441,0,0,50.439722,7.401667,Andernach
0,0,13797,0,0,53.033333,14,Angermünde
0,16,12635,0,0,53.85,13.683333,Anklam
0,8,20292,0,0,50.58,13.002222,Annaberg-Buchholz
0,19,6932,0,0,51.732778,13.045556,Annaburg
0,7,7083,0,0,49.2,7.966667,Annweiler am Trifels
0,10,41532,0,0,49.3,10.583333,Ansbach
0,15,22279,0,0,51.016667,11.516667,Apolda
0,11,6929,0,0,52.8767,11.4867,Arendsee
0,11,1528,0,0,52.666667,12,Arneburg
0,9,275,0,0,54.63,9.931389,Arnis
0,1,73990,0,0,51.383333,8.083333,Arnsberg
0,15,24340,0,0,50.834167,10.946389,Arnstadt
0,20,6831,0,0,51.683333,11.466667,Arnstein
0,10,8090,0,0,49.966667,9.983333,Arnstein
0,21,5533,0,0,51.366667,11.3,Artern
0,10,5231,0,0,50.066667,12.183333,Arzberg
0,10,69187,0,0,49.966667,9.15,Aschaffenburg
0,11,27793,0,0,51.75,11.466667,Aschersleben
0,22,13315,0,0,48.9,9.133333,Asperg
0,1,24279,0,0,51.116667,7.9,Attendorn
0,10,1474,0,0,49.533333,10.05,Aub
0,8,16235,0,0,50.588056,12.700556,Aue
0,8,18779,0,0,50.509444,12.4,Auerbach
0,10,8859,0,0,49.683333,11.616667,Auerbach i.d.OPf.
0,10,289584,0,0,48.366667,10.9,Augsburg
0,8,4556,0,0,50.814444,13.1,Augustusburg
0,23,9988,0,0,47.954167,9.638889,Aulendorf
0,20,3606,0,0,50.7,11.9,Auma-Weidatal
0,5,41489,0,0,53.471389,7.483611,Aurich
0,14,13655,0,0,50.583333,8.466667,Aßlar
0,18,16729,0,0,49.966667,8.95,Babenhausen
0,7,1880,0,0,50.066667,7.766667,Bacharach
0,2,36266,0,0,48.946389,9.430556,Backnang
0,10,18595,0,0,47.866667,12.016667,Bad Aibling
0,18,15501,0,0,51.366667,9.016667,Bad Arolsen
0,0,11113,0,0,52.142222,12.595556,Bad Belzig
0,24,15311,0,0,52.303056,7.159722,Bad Bentheim
0,7,8007,0,0,49.1028,7.99913,Bad Bergzabern
0,15,7540,0,0,50.9,11.280833,Bad Berka
0,1,19261,0,0,51.049722,8.4,Bad Berleburg
0,10,4326,0,0,50.047778,11.672222,Bad Berneck i.Fichtelgebirge
0,5,9060,0,0,53.079167,10.583333,Bad Bevensen
0,25,2783,0,0,51.2,11.566667,Bad Bibra
0,15,6666,0,0,50.683333,11.266667,Bad Blankenburg
0,9,14139,0,0,53.918611,9.884444,Bad Bramstedt
0,26,9240,0,0,50.509167,7.296389,Bad Breisig
0,10,6352,0,0,50.309444,9.790556,Bad Brückenau
0,2,4033,0,0,48.066111,9.61,Bad Buchau
0,14,14148,0,0,50.3,8.266667,Bad Camberg
0,27,2059,0,0,50.280556,10.725278,Bad Colberg-Heldburg
0,16,12124,0,0,54.106944,11.905278,Bad Doberan
0,1,18659,0,0,51.733333,9.016667,Bad Driburg
0,8,7968,0,0,51.591944,12.585278,Bad Düben
0,7,18499,0,0,49.459444,8.168056,Bad Dürkheim
0,28,11763,0,0,51.283333,12.066667,Bad Dürrenberg
0,29,12896,0,0,48.016667,8.533333,Bad Dürrheim
0,8,3723,0,0,50.281944,12.234722,Bad Elster
0,7,9229,0,0,50.338056,7.710556,Bad Ems
0,5,11044,0,0,52.8675,9.696667,Bad Fallingbostel
0,15,8975,0,0,51.355833,11.101111,Bad Frankenhausen
0,0,12316,0,0,52.785556,14.0325,Bad Freienwalde
0,2,19019,0,0,49.233333,9.216667,Bad Friedrichshall
0,5,10141,0,0,51.871944,10.025278,Bad Gandersheim
0,30,5660,0,0,50.858333,13.95,Bad Gottleuba-Berggießhübel
0,10,8901,0,0,48.45,13.2,Bad Griesbach i.Rottal
0,5,21735,0,0,51.881111,10.562222,Bad Harzburg
0,6,7641,0,0,48.800556,8.440833,Bad Herrenalb
0,18,29615,0,0,50.868333,9.7075,Bad Hersfeld
0,31,53707,0,0,50.216667,8.6,Bad Homburg v. d. Höhe
0,1,25705,0,0,50.645,7.226944,Bad Honnef
0,32,5760,0,0,50.517778,7.308611,Bad Hönningen
0,5,10548,0,0,52.159167,8.047222,Bad Iburg
0,18,3823,0,0,51.633333,9.45,Bad Karlshafen
0,10,21879,0,0,50.2,10.066667,Bad Kissingen
0,7,49406,0,0,49.85,7.866667,Bad Kreuznach
0,2,18692,0,0,47.916667,7.7,Bad Krozingen
0,18,9639,0,0,49.75,9.016667,Bad König
0,33,6000,0,0,50.3,10.416667,Bad Königshofen
0,15,3593,0,0,50.930556,12.009722,Bad Köstritz
0,10,7462,0,0,49.176944,12.855,Bad Kötzting
0,1,13802,0,0,50.930278,8.416667,Bad Laasphe
0,15,17397,0,0,51.108056,10.646667,Bad Langensalza
0,11,8817,0,0,51.366667,11.833333,Bad Lauchstädt
0,34,8081,0,0,51.144722,12.645278,Bad Lausick
0,5,10596,0,0,51.631667,10.470556,Bad Lauterberg
0,15,7884,0,0,50.814444,10.354167,Bad Liebenstein
0,0,9283,0,0,51.516667,13.4,Bad Liebenwerda
0,6,9298,0,0,48.774167,8.731389,Bad Liebenzell
0,1,15695,0,0,51.783333,8.816667,Bad Lippspringe
0,15,6029,0,0,50.45,11.65,Bad Lobenstein
0,35,5895,0,0,50.651944,7.952222,Bad Marienberg
0,2,23064,0,0,49.5,9.766667,Bad Mergentheim
0,8,3612,0,0,51.55,14.716667,Bad Muskau
0,5,17376,0,0,52.199167,9.465278,Bad Münder
0,1,17291,0,0,50.553056,6.766111,Bad Münstereifel
0,18,31924,0,0,50.366667,8.75,Bad Nauheim
0,5,10649,0,0,52.336944,9.378611,Bad Nenndorf
0,7,,0,0,50.544722,7.113333,Bad Neuenahr-Ahrweiler
0,10,15334,0,0,50.321944,10.216111,Bad Neustadt an der Saale
0,1,48846,0,0,52.2,8.8,Bad Oeynhausen
0,9,25005,0,0,53.811667,10.374167,Bad Oldesloe
0,18,9759,0,0,50.216667,9.35,Bad Orb
0,5,19239,0,0,51.986667,9.263611,Bad Pyrmont
0,2,20510,0,0,49.233333,9.1,Bad Rappenau
0,10,17752,0,0,47.724722,12.876944,Bad Reichenhall
0,10,6352,0,0,50.333333,10.783333,Bad Rodach
0,36,7510,0,0,51.596944,10.552222,Bad Sachsa
0,5,13269,0,0,52.065278,10.009167,Bad Salzdetfurth
0,1,53746,0,0,52.0875,8.750556,Bad Salzuflen
0,15,15696,0,0,50.811667,10.233333,Bad Salzungen
0,2,17286,0,0,48.0175,9.500278,Bad Saulgau
0,8,3682,0,0,50.916667,14.15,Bad Schandau
0,11,8475,0,0,51.688056,12.7375,Bad Schmiedeberg
0,2,8537,0,0,48.006667,9.658611,Bad Schussenried
0,18,10849,0,0,50.133333,8.066667,Bad Schwalbach
0,9,20096,0,0,53.919444,10.6975,Bad Schwartau
0,9,17427,0,0,53.916667,10.316667,Bad Segeberg
0,7,6387,0,0,49.787222,7.652778,Bad Sobernheim
0,18,22393,0,0,50.133333,8.5,Bad Soden
0,18,13463,0,0,50.266667,9.366667,Bad Soden-Salmünster
0,37,8476,0,0,51.283333,9.983333,Bad Sooden-Allendorf
0,10,10322,0,0,50.1,10.966667,Bad Staffelstein
0,15,4762,0,0,51.0875,11.622222,Bad Sulza
0,2,17036,0,0,47.55,7.95,Bad Säckingen
0,38,1755,0,0,54.133333,12.666667,Bad Sülze
0,6,3073,0,0,48.688333,8.688056,Bad Teinach-Zavelstein
0,15,2505,0,0,51.153889,10.837222,Bad Tennstedt
0,10,18527,0,0,47.760278,11.556667,Bad Tölz
0,2,12143,0,0,48.493056,9.398611,Bad Urach
0,18,33458,0,0,50.178056,8.736111,Bad Vilbel
0,2,20011,0,0,47.921111,9.751944,Bad Waldsee
0,2,9876,0,0,48.750278,8.550556,Bad Wildbad
0,18,16980,0,0,51.116667,9.116667,Bad Wildungen
0,0,2577,0,0,52.95,11.949722,Bad Wilsnack
0,2,6971,0,0,49.233333,9.166667,Bad Wimpfen
0,10,12379,0,0,49.5,10.416667,Bad Windsheim
0,2,14505,0,0,47.909444,9.899444,Bad Wurzach
0,10,15731,0,0,48.005833,10.596944,Bad Wörishofen
0,1,12200,0,0,51.516667,8.7,Bad Wünnenberg
0,2,54160,0,0,48.762778,8.240833,Baden-Baden
0,1,27029,0,0,50.9,6.183333,Baesweiler
0,3,7560,0,0,49.65,11.016667,Baiersdorf
0,2,33640,0,0,48.273056,8.850556,Balingen
0,11,9130,0,0,51.72,11.2375,Ballenstedt
0,1,11517,0,0,51.333333,7.866667,Balve
0,10,75743,0,0,49.9,10.9,Bamberg
0,11,8665,0,0,51.966667,11.866667,Barby
0,9,16135,0,0,53.716667,10.266667,Bargteheide
0,9,10283,0,0,53.783333,9.766667,Barmstedt
0,1,8616,0,0,51.983056,9.116667,Barntrup
0,39,33608,0,0,52.3,9.481111,Barsinghausen
0,16,8660,0,0,54.366667,12.716667,Barth
0,0,4121,0,0,52.05,13.5,Baruth/Mark
0,5,15768,0,0,52.849444,8.726667,Bassum
0,18,5337,0,0,51.016667,8.65,Battenberg
0,40,4032,0,0,49.6125,7.334722,Baumholder
0,41,4051,0,0,49.966667,10.833333,Baunach
0,37,27704,0,0,51.258889,9.418333,Baunatal
0,8,39963,0,0,51.181389,14.424167,Bautzen
0,10,73065,0,0,49.948056,11.578333,Bayreuth
0,37,13963,0,0,50.971111,9.790278,Bebra
0,1,36729,0,0,51.755,8.040278,Beckum
0,1,23577,0,0,51,6.5625,Bedburg
0,42,12166,0,0,52.233333,12.966667,Beelitz
0,0,8099,0,0,52.166667,14.25,Beeskow
0,10,9560,0,0,49.033333,11.466667,Beilngries
0,2,6178,0,0,49.033333,9.316667,Beilstein
0,8,7828,0,0,51.466667,13.033333,Belgern-Schildau
0,7,16813,0,0,50.429722,7.570278,Bendorf
0,18,40168,0,0,49.666667,8.616667,Bensheim
0,43,8541,0,0,49.1,11.433333,Berching
0,15,3359,0,0,50.75,12.166667,Berga
0,44,13027,0,0,52.810278,9.961111,Bergen
0,16,13618,0,0,54.416667,13.433333,Bergen auf Rügen
0,1,60288,0,0,50.966667,6.65,Bergheim
0,1,111341,0,0,51.1,7.116667,Bergisch Gladbach
0,1,48543,0,0,51.616667,7.633333,Bergkamen
0,1,18947,0,0,51.033333,7.65,Bergneustadt
0,45,4253,0,0,50.939444,10.07,Berka/Werra
0,46,37725,0,0,52.666667,13.583056,Bernau bei Berlin
0,11,33920,0,0,51.8,11.733333,Bernburg
0,7,6987,0,0,49.916111,7.069444,Bernkastel-Kues
0,8,6533,0,0,51.366667,14.066667,Bernsdorf
0,47,3390,0,0,51.045833,14.826389,Bernstadt auf dem Eigen
0,5,8315,0,0,52.533333,7.916667,Bersenbrück
0,2,12018,0,0,48.998333,9.141667,Besigheim
0,48,9967,0,0,50.785556,7.872778,Betzdorf
0,41,2485,0,0,49.680272,11.417636,Betzenstein
0,1,13313,0,0,51.662778,9.3725,Beverungen
0,49,17782,0,0,49.349444,7.259444,Bexbach
0,2,32233,0,0,48.1,9.783333,Biberach an der Riss
0,18,13713,0,0,50.912778,8.532222,Biedenkopf
0,1,,0,0,52.016667,8.533333,Bielefeld
0,0,5671,0,0,52.766667,13.633056,Biesenthal
0,2,42968,0,0,48.966667,9.133333,Bietigheim-Bissingen
0,1,11594,0,0,51.979167,7.295,Billerbeck
0,7,24987,0,0,49.966667,7.9,Bingen am Rhein
0,40,6883,0,0,49.65,7.183333,Birkenfeld
0,33,4707,0,0,50.4,10.016667,Bischofsheim a.d.Rhön
0,8,11169,0,0,51.1275,14.179722,Bischofswerda
0,50,8418,0,0,52.666667,11.55,Bismark
0,7,14002,0,0,49.966667,6.533333,Bitburg
0,11,40480,0,0,51.616667,12.316667,Bitterfeld-Wolfen
0,11,20294,0,0,51.795278,10.962222,Blankenburg
0,51,6406,0,0,50.86,11.343889,Blankenhain
0,2,12087,0,0,48.411944,9.785,Blaubeuren
0,23,15643,0,0,48.418333,9.908056,Blaustein
0,5,9439,0,0,53.3,10.733333,Bleckede
0,52,6157,0,0,51.416667,10.566667,Bleicherode
0,49,20886,0,0,49.233056,7.25,Blieskastel
0,1,15274,0,0,51.933056,9.083056,Blomberg
