id,province,population,x_coord,y_coord,latitude,longitude
0,0,201703,0,0,52.366667,5.216667,Almere
0,1,20005,0,0,51.866667,4.666667,Alblasserdam
0,2,13061,0,0,51.753889,5.131389,Aalburg
0,3,108618,0,0,52.616667,4.766667,Alkmaar
0,4,72373,0,0,52.366667,6.666667,Almelo
0,1,109107,0,0,52.133333,4.65,Alphen aan den Rijn
0,2,10040,0,0,51.499167,4.872222,Alphen-Chaam
0,1,25141,0,0,51.866667,4.416667,Albrandswaard
0,3,31393,0,0,52.233333,4.75,Aalsmeer
0,5,27134,0,0,51.933333,6.583333,Aalten
0,3,853312,0,0,52.366667,4.883333,Amsterdam
0,3,89608,0,0,52.3,4.833333,Amstelveen
0,6,31745,0,0,51.083333,5.866667,Echt-Susteren
0,5,160497,0,0,52.216667,5.95,Apeldoorn
0,2,20094,0,0,51.366667,5.216667,Bladel
0,1,12787,0,0,51.75,4.45,Cromstrijen
0,4,22345,0,0,52.583333,6.083333,Zwartewaterland
0,1,44392,0,0,51.816667,4.65,Zwijndrecht
0,4,125709,0,0,52.516667,6.083333,Zwolle
0,5,32392,0,0,51.916667,6.083333,Zevenaar
0,1,8383,0,0,52.113889,4.506111,Zoeterwoude
0,1,124750,0,0,52.05,4.5,Zoetermeer
0,7,62894,0,0,52.083333,5.233333,Zeist
0,8,18927,0,0,53.246808,6.407694,Zuidhorn
0,1,41571,0,0,52.016667,4.616667,Zuidplas
0,7,12815,0,0,52.066667,5.4,Woudenberg
0,2,14586,0,0,51.813056,5.001111,Woudrichem
0,3,154037,0,0,52.466667,4.783333,Zaanstad
0,5,13856,0,0,51.816667,5.25,Zaltbommel
0,0,22452,0,0,52.333333,5.533333,Zeewolde
0,1,13856,0,0,51.933333,5,Zederik
0,3,16903,0,0,52.616667,4.866667,Zandvoort
0,2,21717,0,0,51.47,4.66,Zundert
0,3,15949,0,0,52.508889,4.871111,Wormerland
0,9,23789,0,0,52.666667,6.416667,De Wolden
0,5,47314,0,0,52.133333,6.2,Zutphen
0,7,51622,0,0,52.083333,4.883333,Woerden
0,5,28902,0,0,51.966667,6.716667,Winterswijk
0,2,21785,0,0,51.433333,4.3,Woensdrecht
0,8,13610,0,0,53.333333,6.516667,Winsum
0,7,23629,0,0,51.983333,5.333333,Wijk bij Duurstede
0,3,23467,0,0,52.216667,5.1,Wijdemeren
0,5,40789,0,0,51.8,5.716667,Wijchen
0,1,14334,0,0,51.89,4.066111,Westvoorne
0,4,24252,0,0,52.35,6.583333,Wierden
0,5,18850,0,0,51.883333,5.516667,West Maas en Waal
0,9,19069,0,0,52.766667,6.233333,Westerveld
0,5,15007,0,0,51.95,5.966667,Westervoort
0,1,105885,0,0,52,4.216667,Westland
0,10,25701,0,0,52.883333,6,Weststellingwerf
0,1,26034,0,0,52.15,4.383333,Wassenaar
0,3,18827,0,0,52.516667,5.05,Weesp
0,2,26838,0,0,51.81,4.893056,Werkendam
0,3,17240,0,0,52.451111,5.02,Waterland
0,2,47427,0,0,51.7,5.1,Waalwijk
0,6,49502,0,0,51.25,5.7,Weert
0,1,26901,0,0,52.033333,4.633333,Waddinxveen
0,1,25363,0,0,52.116667,4.433333,Voorschoten
0,2,26347,0,0,51.65,5.283333,Vught
0,11,44451,0,0,51.45,3.583333,Vlissingen
0,6,12446,0,0,50.883333,5.916667,Voerendaal
0,10,1112,0,0,53.466667,5.1,Vlieland
0,2,16953,0,0,51.386944,5.446111,Waalre
0,5,24165,0,0,52.233333,6.083333,Voorst
0,7,19702,0,0,52,5.1,Vianen
0,5,38448,0,0,51.966667,5.666667,Wageningen
0,1,72215,0,0,51.916667,4.35,Vlaardingen
0,6,43544,0,0,51.533333,5.966667,Venray
0,6,100872,0,0,51.366667,6.166667,Venlo
0,11,21896,0,0,51.55,3.533333,Veere
0,3,67585,0,0,52.466667,4.616667,Velsen
0,2,30507,0,0,51.35,5.466667,Valkenswaard
0,7,49109,0,0,52.041944,5.451111,Utrechtse Heuvelrug
0,7,344384,0,0,52.083333,5.116667,Utrecht
0,6,16434,0,0,50.85,5.833333,Valkenburg a/d Geul
0,7,64417,0,0,52.016667,5.55,Veenendaal
0,6,9730,0,0,50.769444,6.018056,Vaals
0,8,27519,0,0,53.1,6.866667,Veendam
0,0,20342,0,0,52.65,5.6,Urk
0,2,44680,0,0,51.4,5.4,Veldhoven
0,3,29247,0,0,52.241944,4.825,Uithoorn
0,4,33839,0,0,52.4,6.616667,Twenterand
0,9,33259,0,0,53.066667,6.566667,Tynaarlo
0,4,21152,0,0,52.4,6.766667,Tubbergen
0,2,41496,0,0,51.666667,5.616667,Uden
0,2,214157,0,0,51.55,5.083333,Tilburg
0,3,13462,0,0,52.528889,4.71,Uitgeest
0,11,54519,0,0,51.3,3.833333,Terneuzen
0,10,4837,0,0,53.4,5.35,Terschelling
0,5,41432,0,0,51.883333,5.433333,Tiel
0,3,13576,0,0,53.066667,4.8,Texel
0,1,36200,0,0,52.216667,4.5,Teylingen
0,10,31888,0,0,53.183333,5.983333,Tietjerksteradeel
0,11,25540,0,0,51.583333,4.116667,Tholen
0,10,84028,0,0,53,5.543889,Súdwest-Fryslân
0,7,64411,0,0,52.2,5,Stichtse Vecht
0,6,25015,0,0,50.968056,5.765,Stein
0,1,8763,0,0,51.75,4.55,Strijen
0,2,24295,0,0,51.583333,4.316667,Steenbergen
0,3,21656,0,0,52.701111,5.225,Stede Broec
0,8,32180,0,0,52.983333,6.95,Stadskanaal
0,4,16743,0,0,52.633333,6.2,Staphorst
0,7,45934,0,0,52.183333,5.283333,Soest
0,10,55848,0,0,53.166667,6.166667,Smallingerland
0,2,19092,0,0,51.383333,5.7,Someren
0,4,43513,0,0,52.783333,6.116667,Steenwijkerland
0,2,16704,0,0,51.516111,5.501944,Son en Breugel
0,11,23636,0,0,51.333333,3.5,Sluis
0,2,28619,0,0,51.643056,5.358889,Sint-Michielsgestel
0,2,11595,0,0,51.626111,5.881111,Sint Anthonis
0,1,24979,0,0,51.816667,4.766667,Sliedrecht
0,6,10583,0,0,50.883333,5.916667,Simpelveld
0,6,93204,0,0,51,5.85,Sittard-Geleen
0,1,77833,0,0,51.916667,4.4,Schiedam
0,1,639587,0,0,51.95,4.416667,Rotterdam
0,10,946,0,0,53.466667,6.15,Schiermonnikoog
0,5,1520,0,0,52,5.966667,Rozendaal
0,2,22399,0,0,51.531944,4.56,Rucphen
0,7,42969,0,0,52.211944,4.891111,De Ronde Venen
0,2,77069,0,0,51.533333,4.466667,Roosendaal
0,3,46143,0,0,52.783333,4.75,Schagen
0,5,9730,0,0,52.066667,5.483333,Scherpenzeel
0,11,33735,0,0,51.666667,3.883333,Schouwen-Duiveland
0,6,57520,0,0,51.2,5.983333,Roermond
0,6,12886,0,0,50.943056,5.888889,Schinnen
0,1,51241,0,0,52.033333,4.316667,Rijswijk
0,6,20678,0,0,51.133333,6,Roerdalen
0,1,45536,0,0,51.866667,4.6,Ridderkerk
0,4,38067,0,0,52.3,6.516667,Rijssen-Holten
0,5,43508,0,0,52,6.033333,Rheden
0,7,5136,0,0,52.073889,5.541111,Renswoude
0,7,19668,0,0,51.95,5.566667,Rhenen
0,2,12933,0,0,51.361944,5.163056,Reusel-De Mierden
0,1,52935,0,0,52.016667,4.416667,Pijnacker-Nootdorp
0,5,31380,0,0,51.983333,5.85,Renkum
0,4,36999,0,0,52.4,6.283333,Raalte
0,11,22411,0,0,51.45,4.016667,Reimerswaal
0,5,24358,0,0,52.233333,5.583333,Putten
0,3,79830,0,0,52.5,4.966667,Purmerend
0,8,12502,0,0,53.1,7,Pekela
0,6,43295,0,0,51.316667,5.983333,Peel en Maas
0,7,10144,0,0,52.026944,4.868889,Oudewater
0,1,32208,0,0,51.833333,4.7,Papendrecht
0,5,47349,0,0,51.866667,5.85,Overbetuwe
0,3,13465,0,0,52.291111,4.911944,Ouder-Amstel
0,2,90541,0,0,51.75,5.516667,Oss
0,1,24167,0,0,51.8,4.4,Oud-Beijerland
0,3,11429,0,0,52.7,4.966667,Opmeer
