id,province,population,x_coord,y_coord,latitude,longitude,
0,0,21426,0,0,50.61278,4.13639,'s-Gravenbrakel
1,0,12012,0,0,50.4075,4.27028,Anderlues
2,1,5492,0,0,50.35417,6.16944,Amel
3,1,4370,0,0,50.63083,5.97028,Baelen
4,1,9240,0,0,50.66444,5.46083,Awans
5,2,26281,0,0,50.49111,5.09639,Andenne
6,0,28951,0,0,50.62889,3.77472,Aat
7,3,29274,0,0,49.68472,5.81556,Aarlen
8,2,6917,0,0,50.37167,5.02222,Assesse
9,3,16646,0,0,49.57,5.80639,Aubange
10,3,5411,0,0,49.75083,5.78833,Attert
11,1,14182,0,0,50.54861,5.3175,Amay
12,0,19748,0,0,50.43389,3.79472,Boussu
13,0,11709,0,0,50.69056,3.63444,Frasnes-lez-Anvaing
14,2,4744,0,0,50.185,5.01139,Houyet
15,0,3908,0,0,50.15083,4.32694,Froidchapelle
16,0,27257,0,0,50.57972,4.07139,Zinnik
17,1,7461,0,0,50.41528,6.11139,Weismes
18,3,3027,0,0,50.08167,5.11389,Wellin
19,1,9809,0,0,50.66028,5.97056,Welkenraedt
20,1,17748,0,0,50.73306,5.69639,Wezet
21,2,9126,0,0,50.32639,4.87861,Yvoir
22,4,29794,0,0,50.71722,4.39667,Waterloo
23,0,3443,0,0,50.73722,3.7375,Vloesberg
24,2,5806,0,0,50.07611,4.55028,Viroinval
25,1,55177,0,0,50.5925,5.86139,Verviers
26,3,7689,0,0,50.28806,5.91444,Vielsalm
27,2,2650,0,0,49.8725,4.9325,Vresse-sur-Semois
28,4,10498,0,0,50.5775,4.53028,Villers-la-Ville
29,2,18390,0,0,50.25167,4.43167,Walcourt
30,1,6510,0,0,50.56722,5.27056,Villers-le-Bouillet
31,3,11389,0,0,49.5675,5.53222,Virton
32,1,13626,0,0,50.5375,5.21417,Wanze
33,4,33806,0,0,50.71694,4.61083,Waver
34,1,2844,0,0,50.62278,5.00556,Wasseiges
35,4,6997,0,0,50.63111,4.69722,Walhain
36,1,4122,0,0,50.60694,5.3175,Verlaine
37,4,25424,0,0,50.69417,4.20444,Tubeke
38,3,4255,0,0,49.68361,5.51361,Tintigny
39,3,5502,0,0,49.91056,5.56722,Vaux-sur-Sre
40,1,8215,0,0,50.56972,5.69472,Trooz
41,1,2502,0,0,50.37139,5.87028,Trois-Ponts
42,4,7368,0,0,50.73194,4.48944,Terhulpen
43,1,12092,0,0,50.53556,5.81306,Theux
44,1,5698,0,0,50.65306,5.86361,Thimister-Clermont
45,3,2789,0,0,50.09194,5.52444,Tenneville
46,0,14494,0,0,50.34,4.28806,Thuin
47,1,2656,0,0,50.47778,5.37806,Tinlot
48,3,2460,0,0,50.08111,5.21667,Tellin
49,1,3113,0,0,50.40694,5.80861,Stoumont
50,3,8082,0,0,49.59222,5.81528,Messancy
51,3,5180,0,0,49.80111,5.53944,Lglise
52,0,10255,0,0,50.70667,3.26361,Steenput
53,1,7174,0,0,50.39417,5.92889,Stavelot
54,1,16662,0,0,50.61194,5.7475,Soumagne
55,2,5411,0,0,50.33667,5.36694,Somme-Leuze
56,0,4384,0,0,50.55778,3.90111,Lens
57,2,8388,0,0,50.52306,4.60083,Sombreffe
58,0,4848,0,0,50.16778,4.18083,Sivry-Rance
59,1,10415,0,0,50.49139,5.86667,Spa
60,1,14417,0,0,50.5025,5.66361,Sprimont
61,1,64172,0,0,50.59889,5.51222,Seraing
62,0,8472,0,0,50.50278,4.10861,Le Rulx
63,0,11027,0,0,50.52861,4.25667,Seneffe
64,2,27887,0,0,50.4475,4.60556,Sambreville
65,3,3532,0,0,49.61111,5.65472,Saint-Lger
66,1,24078,0,0,50.63056,5.53806,Saint-Nicolas
